playerid,p_HBP,p_SHO,b_AB,p_L,p_SV,p_GF,p_CG,p_R,b_HBP,b_GIDP,b_BB,b_H,b_SH,b_IBB,b_2B,b_3B,b_SB,b_RBI,b_SO,b_G,p_W,b_R,classification
aaronha01,NULL,NULL,12364,NULL,NULL,NULL,NULL,NULL,32,328,1402,3771,21,293,624,98,240,2297,1383,3298,NULL,2174,1
abbotji01,32,6,21,108,0,5,31,880,0,1,0,2,3,0,0,0,0,3,10,263,87,0,0
adamsba01,47,44,1019,140,15,89,206,1129,1,0,53,216,35,0,31,15,1,75,177,482,194,79,0
adamsbo03,NULL,NULL,4019,NULL,NULL,NULL,NULL,NULL,17,62,414,1082,78,1,188,49,67,303,447,1281,NULL,591,0
adamssp01,NULL,NULL,5557,NULL,NULL,NULL,NULL,NULL,28,14,453,1588,136,0,249,48,154,394,223,1424,NULL,844,0
ageeto01,NULL,NULL,3912,NULL,NULL,NULL,NULL,NULL,34,99,342,999,21,26,170,27,167,433,918,1129,NULL,558,0
aguilri01,36,0,139,81,318,557,10,568,0,1,6,28,16,0,3,0,0,11,37,737,86,12,0
akerja01,40,0,92,45,123,321,0,312,1,1,1,7,10,0,2,0,0,4,51,496,47,3,0
alexado01,53,18,265,174,3,56,98,1541,1,7,9,44,23,0,8,0,0,17,77,562,194,19,0
alexape01,70,90,1810,208,32,80,437,1851,2,0,77,378,88,0,60,13,3,163,276,703,373,154,1
allenbe01,NULL,NULL,3404,NULL,NULL,NULL,NULL,NULL,8,60,370,815,24,52,140,21,13,351,424,1139,NULL,357,0
allendi01,NULL,NULL,6332,NULL,NULL,NULL,NULL,NULL,16,164,894,1848,19,138,320,79,133,1119,1556,1749,NULL,1099,0
allenjo02,38,17,716,75,18,68,109,924,0,8,33,124,36,0,12,3,1,64,155,365,142,82,0
alleyge01,NULL,NULL,3927,NULL,NULL,NULL,NULL,NULL,27,95,300,999,56,62,140,44,63,342,622,1195,NULL,442,0
allisdo01,0,0,1407,0,0,1,0,5,0,0,22,381,0,0,43,10,5,140,40,318,0,236,0
alomaro01,NULL,NULL,9073,NULL,NULL,NULL,NULL,NULL,50,206,1032,2724,148,62,504,80,474,1134,1140,2379,NULL,1508,1
alomasa02,NULL,NULL,4530,NULL,NULL,NULL,NULL,NULL,41,132,212,1236,48,15,249,10,25,588,499,1377,NULL,520,0
aloufe01,NULL,NULL,7339,NULL,NULL,NULL,NULL,NULL,57,135,423,2101,33,67,359,49,107,852,706,2082,NULL,985,0
alouje01,NULL,NULL,4345,NULL,NULL,NULL,NULL,NULL,30,143,138,1216,44,32,170,26,31,377,267,1380,NULL,448,0
alouma01,0,0,5789,0,0,1,0,0,36,101,311,1777,55,38,236,50,156,427,377,1667,0,780,0
aloumo01,NULL,NULL,7037,NULL,NULL,NULL,NULL,NULL,48,195,737,2134,9,91,421,39,106,1287,894,1942,NULL,1109,0
